ranking_name,matched_name,score
embry-riddle aeronautical university,embry–riddle aeronautical university,100
agh university of science and technology,university of science and technology,95
babeş-bolyai university,babeș-bolyai university,96
queen’s university,queen's university,100
otto von guericke university of magdeburg,otto-von-guericke university magdeburg,96
ondokuz mayis university,ondokuz mayıs university,96
king mongkut’s institute of technology ladkrabang,king mongkut's institute of technology ladkrabang,100
karolinska institute,karolinska institutet,98
czech university of life sciences prague (czu),czech university of life sciences prague,95
ca’ foscari university of venice,ca' foscari university of venice,100
gwangju institute of science and technology (gist),gwangju institute of science and technology,95
"china university of geosciences, beijing",china university of geosciences (beijing),100
king mongkut’s university of technology thonburi,king mongkut's university of technology thonburi,100
university of st gallen,university of st. gallen,100
washington university in st louis,washington university in st. louis,100
"national institute of technology, tiruchirappalli",national institute of technology tiruchirappalli,100
"royal holloway, university of london",royal holloway university of london,100
peter the great st petersburg polytechnic university,peter the great st. petersburg polytechnic university,100
johannes gutenberg university of mainz,johannes gutenberg university mainz,96
university of illinois at urbana-champaign,university of illinois urbana-champaign,96
v.n. karazin kharkiv national university,v. n. karazin kharkiv national university,100
government college university lahore,"government college university, lahore",100
university of pécs,university of pecs,97
k.n. toosi university of technology,k.n.toosi university of technology,100
paris nanterre university,université paris nanterre,98
"st george’s, university of london","st george's, university of london",100
xi’an jiaotong university,xi'an jiaotong university,100
universität heidelberg,heidelberg university,95
autonomous university of san luis potosi,autonomous university of san luis potosí,99
"adam mickiewicz university, poznań",adam mickiewicz university in poznań,96
university of hawai’i at mānoa,university of hawaiʻi at mānoa,97
paris-sud university,université paris-sud,97
king’s college london,king's college london,100
the university of electro-communications,university of electro-communications,95
comenius university in bratislava,comenius university bratislava,95
university of nebraska-lincoln,university of nebraska–lincoln,100
thapar institute of engineering and technology,thapar institute of engineering & technology,95
queen’s university belfast,queen's university belfast,100
university of michigan-ann arbor,university of michigan–ann arbor,100
technion israel institute of technology,technion – israel institute of technology,100
ulm university,iulm university,97
university of rome ii – tor vergata,university of rome tor vergata,95
the hong kong university of science and technology,hong kong university of science and technology,96
university of wisconsin-milwaukee,university of wisconsin–milwaukee,100
university of wisconsin-madison,university of wisconsin–madison,100
grenoble alpes university,université grenoble alpes,98
claude bernard university lyon 1,université claude bernard lyon 1,98
university of milan-bicocca,university of milano-bicocca,98
panthéon-sorbonne university – paris 1,université paris 1 panthéon-sorbonne,99
"university of agriculture, faisalabad",university of agriculture faisalabad,100
the jikei university school of medicine,jikei university school of medicine,95
aix-marseille university,aix-marseille université,98
l.n. gumilyov eurasian national university,l. n. gumilyov eurasian national university,100
lappeenranta-lahti university of technology lut,lappeenranta-lahti university of technology,96
sorbonne university,sorbonne université,97
"indian institute of science education and research, pune",indian institute of science education and research pune,100
university of arkansas,university of kansas,95
