rank_order,rank,name,scores_overall,scores_overall_rank,scores_teaching,scores_teaching_rank,scores_research,scores_research_rank,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,location,stats_number_students,stats_student_staff_ratio,stats_pc_intl_students,stats_female_male_ratio,aliases,subjects_offered,closed,unaccredited,female_pct,male_pct,rank_clean
140,14,ucl,87.8,140,79.1,22,90.1,14,95.9,57,42.4,489,95.8,27,United Kingdom,31695.0,10.6,51.0,57 : 43,UCL ucl UCL,"Archaeology,Chemical Engineering,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Civil Engineering,Physics & Astronomy,Education,Psychology,Computer Science,Mathematics & Statistics,Architecture,Chemistry,Medicine & Dentistry,General Engineering,Economics & Econometrics,Law,Geography,Business & Management,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Languages, Literature & Linguistics,Biological Sciences,Communication & Media Studies,Other Health,Electrical & Electronic Engineering,Sociology",False,False,56.99999999999999,43.0,14.0
320,=32,lmu munich,78.3,320,69.9,35,76.1,34,90.2,116,100.0,6,65.6,285,Germany,35389.0,36.0,16.0,61 : 39,LMU Munich Ludwig-Maximilians-Universität München,"Psychology,Education,Computer Science,Business & Management,Law,Sociology,Medicine & Dentistry,Mathematics & Statistics,History, Philosophy & Theology,Biological Sciences,Geography,Other Health,Archaeology,Physics & Astronomy,Art, Performing Arts & Design,Chemistry,Communication & Media Studies,Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,Languages, Literature & Linguistics,Veterinary Science,Politics & International Studies (incl Development Studies)",False,False,61.0,39.0,32.0
420,41,paris sciences et lettres – psl research university paris,74.4,420,74.3,30,67.8,52,82.2,205,49.8,317,78.3,182,France,20722.0,11.3,26.0,44 : 56,Paris Sciences et Lettres – PSL Research University Paris,"History, Philosophy & Theology,Art, Performing Arts & Design,Geology, Environmental, Earth & Marine Sciences,Archaeology,Chemistry,Accounting & Finance,Mechanical & Aerospace Engineering,Other Health,Politics & International Studies (incl Development Studies),Chemical Engineering,General Engineering,Communication & Media Studies,Languages, Literature & Linguistics,Law,Civil Engineering,Economics & Econometrics,Sociology,Electrical & Electronic Engineering,Mathematics & Statistics,Business & Management,Geography,Physics & Astronomy,Biological Sciences,Computer Science",False,False,44.0,56.00000000000001,41.0
510,51,"nanyang technological university, singapore",72.2,510,55.4,83,65.8,56,88.6,137,83.1,80,95.4,30,Singapore,25738.0,16.7,28.0,48 : 52,"Nanyang Technological University, Singapore NTU Nan yang","Civil Engineering,Economics & Econometrics,Psychology,Education,Sport Science,Sociology,Politics & International Studies (incl Development Studies),Accounting & Finance,Electrical & Electronic Engineering,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Medicine & Dentistry,Languages, Literature & Linguistics,Business & Management,Mechanical & Aerospace Engineering,Chemistry,Communication & Media Studies,Other Health,Computer Science,General Engineering,Physics & Astronomy,Chemical Engineering,Mathematics & Statistics,Art, Performing Arts & Design,History, Philosophy & Theology",False,False,48.0,52.0,51.0
670,67,humboldt university of berlin,66.9,670,64.1,46,65.8,55,72.6,330,41.8,510,67.2,275,Germany,33000.0,59.0,17.0,,Humboldt University of Berlin,"Geography,History, Philosophy & Theology,Biological Sciences,Politics & International Studies (incl Development Studies),Computer Science,Economics & Econometrics,Physics & Astronomy,Art, Performing Arts & Design,Education,Geology, Environmental, Earth & Marine Sciences,Other Health,Mathematics & Statistics,Agriculture & Forestry,Medicine & Dentistry,Psychology,Sociology,Languages, Literature & Linguistics,Chemistry,Law,Business & Management,Accounting & Finance,Communication & Media Studies,Sport Science,Archaeology",False,False,,,67.0
720,=71,ohio state university (main campus),65.3,720,56.7,74,54.9,84,87.1,160,52.9,270,58.3,384,United States,53540.0,12.8,12.0,49 : 51,Ohio State University (Main campus),"Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Chemical Engineering,Education,Mechanical & Aerospace Engineering,Art, Performing Arts & Design,Communication & Media Studies,Agriculture & Forestry,Accounting & Finance,Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Sport Science,Chemistry,Geography,History, Philosophy & Theology,Economics & Econometrics,Mathematics & Statistics,Languages, Literature & Linguistics,Other Health,Civil Engineering,Psychology,Medicine & Dentistry,General Engineering,Physics & Astronomy,Architecture,Computer Science,Veterinary Science,Business & Management,Law,Archaeology,Sociology",False,False,49.0,51.0,71.0
810,81,penn state (main campus),63.8,810,53.2,91,62.5,61,81.1,220,50.8,294,46.4,564,United States,45704.0,15.0,15.0,46 : 54,Penn State (Main campus),"Business & Management,General Engineering,Physics & Astronomy,History, Philosophy & Theology,Chemical Engineering,Chemistry,Accounting & Finance,Mechanical & Aerospace Engineering,Sport Science,Medicine & Dentistry,Agriculture & Forestry,Geography,Education,Veterinary Science,Art, Performing Arts & Design,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Law,Communication & Media Studies,Languages, Literature & Linguistics,Computer Science,Mathematics & Statistics,Sociology,Archaeology,Other Health,Biological Sciences,Politics & International Studies (incl Development Studies),Architecture,Civil Engineering,Psychology",False,False,46.0,54.0,81.0
910,=90,university of montreal,63.0,910,47.8,122,50.2,109,84.6,188,74.3,118,85.0,118,Canada,37311.0,20.3,23.0,59 : 41,University of Montreal Université de Montréal Universite de Montreal,"General Engineering,Medicine & Dentistry,Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,Civil Engineering,Physics & Astronomy,Art, Performing Arts & Design,Politics & International Studies (incl Development Studies),Mechanical & Aerospace Engineering,Archaeology,History, Philosophy & Theology,Sociology,Accounting & Finance,Biological Sciences,Communication & Media Studies,Architecture,Mathematics & Statistics,Chemical Engineering,Chemistry,Law,Veterinary Science,Sport Science,Geography,Education,Electrical & Electronic Engineering,Languages, Literature & Linguistics,Business & Management,Psychology,Computer Science,Other Health",False,False,59.0,41.0,90.0
1040,104,free university of berlin,61.4,1040,61.3,58,64.3,59,57.2,519,42.4,485,74.0,216,Germany,35032.0,56.4,21.0,59 : 41,Free University of Berlin,"Chemistry,Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,Archaeology,Computer Science,Biological Sciences,Physics & Astronomy,Law,Mathematics & Statistics,History, Philosophy & Theology,Communication & Media Studies,Veterinary Science,Accounting & Finance,Sociology,Languages, Literature & Linguistics,Politics & International Studies (incl Development Studies),Education,Geography,Psychology,Business & Management",False,False,59.0,41.0,104.0
1070,107,university of virginia (main campus),61.0,1070,53.8,89,41.1,178,92.7,90,44.1,432,47.7,545,United States,24295.0,9.4,12.0,53 : 47,University of Virginia (Main campus),"Biological Sciences,Law,Art, Performing Arts & Design,Computer Science,Sport Science,Business & Management,Psychology,Medicine & Dentistry,Geography,History, Philosophy & Theology,Politics & International Studies (incl Development Studies),Chemistry,Electrical & Electronic Engineering,Architecture,General Engineering,Mathematics & Statistics,Accounting & Finance,Languages, Literature & Linguistics,Economics & Econometrics,Chemical Engineering,Mechanical & Aerospace Engineering,Sociology,Other Health,Archaeology,Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences,Civil Engineering,Education,Communication & Media Studies",False,False,53.0,47.0,107.0
1130,=110,university of pittsburgh-pittsburgh campus,60.3,1130,47.8,123,44.5,147,95.9,56,40.4,580,38.2,724,United States,26517.0,5.9,11.0,52 : 48,University of Pittsburgh-Pittsburgh campus,"Mathematics & Statistics,Physics & Astronomy,Law,Other Health,Biological Sciences,Computer Science,Art, Performing Arts & Design,Education,Geography,Communication & Media Studies,Architecture,Accounting & Finance,Sport Science,Chemical Engineering,Geology, Environmental, Earth & Marine Sciences,Business & Management,Chemistry,Sociology,Economics & Econometrics,Politics & International Studies (incl Development Studies),Medicine & Dentistry,Civil Engineering,Psychology,Languages, Literature & Linguistics,General Engineering,History, Philosophy & Theology,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering",False,False,52.0,48.0,110.0
1240,=123,arizona state university (tempe),59.0,1240,42.7,173,47.4,130,88.7,136,38.6,678,58.6,377,United States,46362.0,20.8,20.0,43 : 57,Arizona State University (Tempe),"Law,Mathematics & Statistics,Art, Performing Arts & Design,Other Health,Biological Sciences,Communication & Media Studies,Architecture,Chemical Engineering,Geology, Environmental, Earth & Marine Sciences,Geography,Accounting & Finance,Economics & Econometrics,Chemistry,Politics & International Studies (incl Development Studies),Sport Science,Physics & Astronomy,Business & Management,Civil Engineering,Psychology,History, Philosophy & Theology,Education,Mechanical & Aerospace Engineering,Sociology,Archaeology,Electrical & Electronic Engineering,General Engineering,Computer Science,Languages, Literature & Linguistics",False,False,43.0,56.99999999999999,123.0
1280,=128,université catholique de louvain,58.9,1280,38.1,241,51.4,104,82.1,209,55.1,243,79.7,165,Belgium,25952.0,39.6,21.0,54 : 46,Université Catholique de Louvain,"Civil Engineering,Chemistry,Economics & Econometrics,Sport Science,Geography,Business & Management,Art, Performing Arts & Design,Veterinary Science,Communication & Media Studies,General Engineering,Politics & International Studies (incl Development Studies),Geology, Environmental, Earth & Marine Sciences,Law,Languages, Literature & Linguistics,Computer Science,Sociology,Mechanical & Aerospace Engineering,Other Health,Biological Sciences,Physics & Astronomy,Accounting & Finance,Education,Archaeology,Agriculture & Forestry,Architecture,History, Philosophy & Theology,Mathematics & Statistics,Electrical & Electronic Engineering,Chemical Engineering,Psychology,Medicine & Dentistry",False,False,54.0,46.0,128.0
1310,131,technical university of berlin,58.7,1310,50.0,105,54.1,91,67.5,394,94.2,44,64.4,297,Germany,22472.0,64.4,22.0,34 : 66,Technical University of Berlin,"Sociology,Computer Science,Accounting & Finance,Mathematics & Statistics,Civil Engineering,Architecture,Electrical & Electronic Engineering,Chemistry,Mechanical & Aerospace Engineering,Chemical Engineering,History, Philosophy & Theology,Education,Physics & Astronomy,General Engineering,Languages, Literature & Linguistics",False,False,34.0,66.0,131.0
